ad_archive_id,ad_creation_time,currency,max_impressions,max_spend,min_impressions,min_spend,ad_url,page_name,page_id
250989412143413,2018-06-07,USD,7999,199,7000,100,https://www.facebook.com/ads/library/?id=250989412143413,AIPAC,40217893542
459990544447303,2018-06-07,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=459990544447303,AIPAC,40217893542
1052819278200921,2018-06-07,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=1052819278200921,AIPAC,40217893542
1552519638207912,2018-06-08,USD,7999,199,7000,100,https://www.facebook.com/ads/library/?id=1552519638207912,AIPAC,40217893542
2010543899262115,2018-06-08,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=2010543899262115,AIPAC,40217893542
259863494755737,2018-06-10,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=259863494755737,AIPAC,40217893542
378629869313251,2018-06-10,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=378629869313251,AIPAC,40217893542
778700772517989,2018-06-10,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=778700772517989,AIPAC,40217893542
931877786981923,2018-06-10,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=931877786981923,AIPAC,40217893542
1031838580311938,2018-06-10,USD,3999,199,3000,100,https://www.facebook.com/ads/library/?id=1031838580311938,AIPAC,40217893542
1825880750788884,2018-06-10,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=1825880750788884,AIPAC,40217893542
2024467831148296,2018-06-10,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=2024467831148296,AIPAC,40217893542
408922046290969,2018-06-11,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=408922046290969,AIPAC,40217893542
183768468995748,2018-06-15,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=183768468995748,AIPAC,40217893542
211596106145456,2018-06-15,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=211596106145456,AIPAC,40217893542
217632445511868,2018-06-15,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=217632445511868,AIPAC,40217893542
1923886914569833,2018-06-15,USD,3999,199,3000,100,https://www.facebook.com/ads/library/?id=1923886914569833,AIPAC,40217893542
239630563493662,2018-07-03,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=239630563493662,AIPAC,40217893542
267317777150438,2018-07-03,USD,7999,99,7000,0,https://www.facebook.com/ads/library/?id=267317777150438,AIPAC,40217893542
2091335461141103,2018-07-03,USD,59999,599,50000,500,https://www.facebook.com/ads/library/?id=2091335461141103,AIPAC,40217893542
174527626738690,2018-07-03,USD,14999,299,10000,200,https://www.facebook.com/ads/library/?id=174527626738690,AIPAC,40217893542
210197632958042,2018-07-03,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=210197632958042,AIPAC,40217893542
238842103564638,2018-07-03,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=238842103564638,AIPAC,40217893542
270274746869216,2018-07-03,USD,24999,299,20000,200,https://www.facebook.com/ads/library/?id=270274746869216,AIPAC,40217893542
2128556780697778,2018-07-03,USD,8999,99,8000,0,https://www.facebook.com/ads/library/?id=2128556780697778,AIPAC,40217893542
2232644490085453,2018-07-03,USD,49999,799,45000,700,https://www.facebook.com/ads/library/?id=2232644490085453,AIPAC,40217893542
227573761186517,2018-07-06,USD,3999,99,3000,0,https://www.facebook.com/ads/library/?id=227573761186517,AIPAC,40217893542
655065874845971,2018-07-06,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=655065874845971,AIPAC,40217893542
2138376759709392,2018-07-06,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=2138376759709392,AIPAC,40217893542
481923655607811,2018-08-02,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=481923655607811,AIPAC,40217893542
2242662276013194,2018-08-02,USD,29999,899,25000,800,https://www.facebook.com/ads/library/?id=2242662276013194,AIPAC,40217893542
275247633061084,2018-08-02,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=275247633061084,AIPAC,40217893542
2078889642439034,2018-08-02,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=2078889642439034,AIPAC,40217893542
260292118104826,2018-08-02,USD,59999,1499,50000,1000,https://www.facebook.com/ads/library/?id=260292118104826,AIPAC,40217893542
768182696685345,2018-08-02,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=768182696685345,AIPAC,40217893542
2116418528599458,2018-08-02,USD,999,99,0,0,https://www.facebook.com/ads/library/?id=2116418528599458,AIPAC,40217893542
299510427274005,2018-08-03,USD,2999,99,2000,0,https://www.facebook.com/ads/library/?id=299510427274005,AIPAC,40217893542
503092496808503,2018-08-03,USD,49999,1999,45000,1500,https://www.facebook.com/ads/library/?id=503092496808503,AIPAC,40217893542
506220029802299,2018-08-03,USD,59999,2499,50000,2000,https://www.facebook.com/ads/library/?id=506220029802299,AIPAC,40217893542
857564624441783,2018-08-03,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=857564624441783,AIPAC,40217893542
686794375006230,2018-08-14,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=686794375006230,AIPAC,40217893542
311290462764831,2018-08-15,USD,14999,699,10000,600,https://www.facebook.com/ads/library/?id=311290462764831,AIPAC,40217893542
515882035491825,2018-08-15,USD,19999,899,15000,800,https://www.facebook.com/ads/library/?id=515882035491825,AIPAC,40217893542
239197160122509,2018-08-22,USD,4999,199,4000,100,https://www.facebook.com/ads/library/?id=239197160122509,AIPAC,40217893542
315737468988183,2018-08-22,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=315737468988183,AIPAC,40217893542
1857773494344286,2018-08-22,USD,7999,399,7000,300,https://www.facebook.com/ads/library/?id=1857773494344286,AIPAC,40217893542
2275738595786843,2018-08-22,USD,1999,99,1000,0,https://www.facebook.com/ads/library/?id=2275738595786843,AIPAC,40217893542
342314286512297,2018-08-30,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=342314286512297,AIPAC,40217893542
1891348154284554,2018-08-30,USD,5999,199,5000,100,https://www.facebook.com/ads/library/?id=1891348154284554,AIPAC,40217893542
2362642623762375,2018-08-30,USD,59999,2499,50000,2000,https://www.facebook.com/ads/library/?id=2362642623762375,AIPAC,40217893542
676971605994740,2018-09-13,USD,14999,599,10000,500,https://www.facebook.com/ads/library/?id=676971605994740,AIPAC,40217893542
1006416499530327,2018-09-13,USD,19999,899,15000,800,https://www.facebook.com/ads/library/?id=1006416499530327,AIPAC,40217893542
1969062986449592,2018-09-13,USD,34999,2499,30000,2000,https://www.facebook.com/ads/library/?id=1969062986449592,AIPAC,40217893542
260131841507882,2018-09-13,USD,44999,1499,40000,1000,https://www.facebook.com/ads/library/?id=260131841507882,AIPAC,40217893542
266892547492345,2018-09-13,USD,124999,4999,100000,4500,https://www.facebook.com/ads/library/?id=266892547492345,AIPAC,40217893542
287945725266715,2018-09-13,USD,7999,399,7000,300,https://www.facebook.com/ads/library/?id=287945725266715,AIPAC,40217893542
541544186271884,2018-09-13,USD,8999,299,8000,200,https://www.facebook.com/ads/library/?id=541544186271884,AIPAC,40217893542
686753925032205,2018-09-13,USD,14999,399,10000,300,https://www.facebook.com/ads/library/?id=686753925032205,AIPAC,40217893542
1100698726757985,2018-09-13,USD,14999,499,10000,400,https://www.facebook.com/ads/library/?id=1100698726757985,AIPAC,40217893542
